NACE_2008_mix|NACE2008_mix_label|HILUCS_l2|HILUCS_l2_label|HILUCS_mix(*)|HILUCS_mix_label|WALOUS_HILUCS_Final|WALOUS_mix_label
30|Fabrication d'autres matériels de transport|2_2|HeavyEndProductIndustry|2_2_2|ManufacturingOfVehiclesAndTransportEquipment|2_2|HeavyEndProductIndustry
31|Fabrication de meubles|2_3|LightEndProductIndustry|2_3_5|ManufacturingOfOtherLightEndProducts|2_3|LightEndProductIndustry
32|Autres industries manufacturières|2_3|LightEndProductIndustry|2_3_5|ManufacturingOfOtherLightEndProducts|2_3|LightEndProductIndustry
33|Réparation et installation de machines et d'équipements|3_1|CommercialServices|3_1_1|WholesaleAndRetailTradeAndRepairOfVehiclesAndPersonalAndHouseholdGoods|3_1|CommercialServices
35|Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné|2_4|EnergyProduction|2_4|EnergyProduction|2_4|EnergyProduction
36|Captage, traitement et distribution d'eau|4_3|Utilities|4_3_2|WaterAndSewageInfrastructure|4_3_2|WaterAndSewageInfrastructure
37|Collecte et traitement des eaux usées|4_3|Utilities|4_3_2|WaterAndSewageInfrastructure|4_3_2|WaterAndSewageInfrastructure
38|Collecte, traitement et élimination des déchets; récupération|4_3|Utilities|4_3_3|WasteTreatment|4_3_3|WasteTreatment
39|Dépollution et autres services de gestion des déchets|4_3|Utilities|4_3_3|WasteTreatment|4_3_3|WasteTreatment
41|Construction de bâtiments; promotion immobilière|3_1|CommercialServices|3_1|CommercialServices|3_1|CommercialServices
42|Génie civil|3_1|CommercialServices|3_1|CommercialServices|3_1|CommercialServices
43|Travaux de construction spécialisés|3_1|CommercialServices|3_1|CommercialServices|3_1|CommercialServices
45|Commerce de gros et de détail et réparation véhicules automobiles et de motocycles|3_1|CommercialServices|3_1_1|WholesaleAndRetailTradeAndRepairOfVehiclesAndPersonalAndHouseholdGoods|3_1|CommercialServices
46|Commerce de gros, à l'exception des véhicules automobiles et des motocycles|3_1|CommercialServices|3_1_1|WholesaleAndRetailTradeAndRepairOfVehiclesAndPersonalAndHouseholdGoods|3_1|CommercialServices
47|Commerce de détail, à l'exception des véhicules automobiles et des motocycles|3_1|CommercialServices|3_1_1|WholesaleAndRetailTradeAndRepairOfVehiclesAndPersonalAndHouseholdGoods|3_1|CommercialServices
